ANO,PRINCÍPIO ATIVO,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 17%,PF 17% ALC,PF 17% ZONA FRANCA DE MANAUS,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 19%,PF 20%,PF 21%,PF 22%,RESTRIÇÃO HOSPITALAR,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),ÚLTIMA ALTERAÇÃO,COMERCIALIZAÇÃO 2017,TARJA
2018,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505107701157215,1018003900019,7896016806469,,,ORENCIA,250 MG PO LIOF INJ CT FA + SER DESC,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"1436,83","1632,76","1731,12","1731,12",,"1741,61","1741,61","1752,23","1752,23",,"1796,04",,,Sim,Não,Sim,,,POSITIVA,,SIM,Tarja Vermelha
2018,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113030019605,1018003900027,7896016807442,,,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENCHIDA,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"1140,67","1296,21","1374,3","1374,3",,"1382,63","1382,63","1391,06","1391,06",,"1425,84",,,Não,Não,Não,,,POSITIVA,,SIM,Tarja Vermelha
2018,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113030019705,1018003900035,7896016807466,,,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENCHIDA,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"4562,73","5184,91","5497,26","5497,26",,"5530,57","5530,57","5564,3","5564,3",,"5703,41",,,Não,Não,Não,,,POSITIVA,,NÃO,Tarja Vermelha
2018,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113030019805,1018003900043,7896016807459,,,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENCHIDA + DISPOSITIVO ULTRASAFE,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"1140,67","1296,21","1374,3","1374,3",,"1382,63","1382,63","1391,06","1391,06",,"1425,84",,,Não,Não,Não,,,POSITIVA,,NÃO,Tarja Vermelha
2018,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113030019905,1018003900051,7896016807473,,,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENCHIDA + DISPOSITIVO ULTRASAFE,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"4562,73","5184,91","5497,26","5497,26",,"5530,57","5530,57","5564,3","5564,3",,"5703,41",,,Não,Não,Não,,,POSITIVA,,NÃO,Tarja Vermelha
2018,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113100020405,1018003900061,7896016808180,,,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"1140,67","1296,21","1374,3","1374,3",,"1382,63","1382,63","1391,06","1391,06",,"1425,84",,,Não,Não,Não,,,POSITIVA,,NÃO,Tarja Vermelha
2018,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113100020505,1018003900078,7896016808197,,,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"4562,73","5184,91","5497,26","5497,26",,"5530,57","5530,57","5564,3","5564,3",,"5703,41",,,Não,Não,Não,,,POSITIVA,,SIM,Tarja Vermelha
2018,ABCIXIMABE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507602501155210,1126000100027,7896382701801,,,REOPRO,2 MG/ML SOL INJ CT FA VD INC X 5 ML,"B01C3 - INIBIDORES DA AGREGAÇÃO PLAQUETÁRIA, ANTAGONISTAS GLICOPROTEÍNA IIB/IIIA",Biológicos,,,"1859,86","2113,48","2240,79","2240,79",,"2254,37","2254,37","2268,12","2268,12",,"2324,82",,,Sim,Não,Não,,,POSITIVA,,SIM,Tarja Vermelha
2018,ABCIXIMABE,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514517110034217,1123634150015,7896212452453,,,REOPRO,2 MG/ML SOL INJ CT FA VD INC X 5 ML,"B01C3 - INIBIDORES DA AGREGAÇÃO PLAQUETÁRIA, ANTAGONISTAS GLICOPROTEÍNA IIB/IIIA",Biológico Novo,,,"1859,86","2113,48","2240,79","2240,79",,"2254,37","2254,37","2268,12","2268,12",,"2324,82",,,Sim,Não,Não,,,POSITIVA,,NÃO,Tarja Vermelha
2018,ACARBOSE,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531613701110411,1356900350083,7894916503761,,,AGLUCOSE,100 MG COM CT 3 BL AL PVDC LEIT X 10,A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,Biológicos,,,"27,66","31,43","33,32","33,32",,"33,53","33,53","33,73","33,73",,"34,57",,,Não,Não,Não,,,POSITIVA,,SIM,Tarja Vermelha
