ANO,SUBSTÂNCIA,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN 1,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 17%,PF 17% ALC,PF 17% ZONA FRANCA DE MANAUS,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 19%,PF 20%,PF 21%,PF 22%,RESTRIÇÃO HOSPITALAR,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),ÚLTIMA ALTERAÇÃO,COMERCIALIZAÇÃO 2020,TARJA
2021,21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL,18.459.628/0001-15,BAYER S.A.,538912020009303,1705600230032,7891106000956,    -     ,    -     ,BAYCUTEN N,"10 MG/G + 0,443 MG/G CREM DERM CT BG AL X 40 G",D7B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS,Novo,Regulado,"21,07","23,60","27,27","29,16","25,39",,"29,37","25,54","29,57","25,70",,"30,43",,,Não,Não,Não,Não,,Negativa,,Sim,Tarja  Vermelha
2021,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505107701157215,1018003900019,7896016806469,    -     ,    -     ,ORENCIA,250 MG PO LIOF SOL INFUS IV CT 1 FA + SER DESCARTÁVEL,M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológico,Regulado,"1652,52","1652,52","1877,86","1990,99","1990,99",,"2003,05","2003,05","2015,27","2015,27",,"2065,65",,,Sim,Não,Não,Não,,Positiva,,Sim,Tarja Vermelha(*)
2021,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113030019605,1018003900027,7896016807442,    -     ,    -     ,ORENCIA,125 MG/ML SOL INJ SC CT SER PREENCHIDA,M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológico,Regulado,"1311,90","1311,90","1490,80","1580,60","1580,60",,"1590,18","1590,18","1599,88","1599,88",,"1639,88",,,Não,Não,Não,Não,,Positiva,,Não,Tarja  Vermelha
2021,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113100020505,1018003900078,7896016808197,    -     ,    -     ,ORENCIA,125 MG/ML SOL INJ SC CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológico,Regulado,"5247,70","5247,70","5963,30","6322,53","6322,53",,"6360,85","6360,85","6399,63","6399,63",,"6559,63",,,Não,Não,Sim,Não,,Positiva,,Sim,Tarja  Vermelha
2021,ABCIXIMABE,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514517110034217,1123634150015,7896212452453,    -     ,    -     ,REOPRO,2 MG/ML SOL INJ CT FA VD INC X 5 ML,"B1C3 - INIBIDORES DA AGREGAÇÃO PLAQUETÁRIA, ANTAGONISTAS GLICOPROTEÍNA IIB/IIIA",Biológico Novo,Regulado,"2139,07","2139,07","2430,76","2577,19","2577,19",,"2592,81","2592,81","2608,62","2608,62",,"2673,84",,,Sim,Não,Não,Não,,Positiva,,Não,Tarja  Vermelha
2021,ABCIXIMABE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507602501155210,1126000100027,7896382701801,    -     ,    -     ,REOPRO,2 MG/ML SOL INJ CT FA VD INC X 5 ML,"B1C3 - INIBIDORES DA AGREGAÇÃO PLAQUETÁRIA, ANTAGONISTAS GLICOPROTEÍNA IIB/IIIA",Novo,Regulado,"2139,07","2139,07","2430,76","2577,19","2577,19",,"2592,81","2592,81","2608,62","2608,62",,"2673,84",,,Sim,Não,Não,Não,,Positiva,,Não,Tarja  Vermelha
2021,ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060021902,1126001990018,7896382708442,    -     ,    -     ,VERZENIOS,50 MG COM REV CT BL AL AL X 30,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,"2218,93","2485,20","2871,87","3071,03","2673,41",,"3092,48","2689,61","3114,23","2706,01",,"3204,39",,,Não,Não,Não,Não,,Negativa,,Sim,Tarja Vermelha(*)
2021,ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060022002,1126001990026,7896382708459,    -     ,    -     ,VERZENIOS,50 MG COM REV CT BL AL AL X 60,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,"4437,85","4970,39","5743,72","6142,05","5346,80",,"6184,95","5379,21","6228,45","5412,01",,"6408,78",,,Não,Não,Não,Não,,Negativa,,Não,Tarja Vermelha(*)
2021,ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060022102,1126001990034,7896382708466,    -     ,    -     ,VERZENIOS,100 MG COM REV CT BL AL AL X 30,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,"4437,85","4970,39","5743,72","6142,05","5346,80",,"6184,95","5379,21","6228,45","5412,01",,"6408,78",,,Não,Não,Não,Não,,Negativa,,Sim,Tarja Vermelha(*)
2021,ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060022202,1126001990042,7896382708473,    -     ,    -     ,VERZENIOS,100 MG COM REV CT BL AL AL X 60,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,"8875,68","9940,76","11487,42","12284,08","10693,58",,"12369,87","10758,40","12456,88","10824,00",,"12817,53",,,Não,Não,Não,Não,,Negativa,,Não,Tarja Vermelha(*)
2021,ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060022302,1126001990050,7896382708480,    -     ,    -     ,VERZENIOS,150 MG COM REV CT BL AL AL X 30,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,"6372,37","7137,06","8247,50","8819,46","7677,56",,"8881,06","7724,09","8943,53","7771,19",,"9202,46",,,Não,Não,Não,Não,,Negativa,,Sim,Tarja Vermelha(*)
2021,ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060022402,1126001990069,7896382708497,    -     ,    -     ,VERZENIOS,150 MG COM REV CT BL AL AL X 60,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,"12744,76","14274,13","16495,01","17638,94","15355,12",,"17762,14","15448,19","17887,07","15542,39",,"18404,93",,,Não,Não,Não,Não,,Negativa,,Sim,Tarja Vermelha(*)
2021,ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060022502,1126001990077,7896382708503,    -     ,    -     ,VERZENIOS,200 MG COM REV CT BL AL AL X 30,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,"7957,99","8912,95","10299,70","11013,98","9587,94",,"11090,91","9646,05","11168,92","9704,87",,"11492,28",,,Não,Não,Não,Não,,Negativa,,Sim,Tarja Vermelha(*)
2021,ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060022602,1126001990085,7896382708510,    -     ,    -     ,VERZENIOS,200 MG COM REV CT BL AL AL X 60,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,"15915,97","17825,89","20599,38","22027,95","19175,86",,"22181,81","19292,09","22337,82","19409,72",,"22984,54",,,Não,Não,Não,Não,,Negativa,,Sim,Tarja Vermelha(*)
2021,ACALABRUTINIBE,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,502319040034002,1161802690010,5000456031998,    -     ,    -     ,CALQUENCE,100 MG CAP DURA CT BL AL AL X 60,L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE,Novo,Regulado,"30627,83","34303,17","39640,33","42389,39","36900,98",,"42685,46","37124,64","42985,68","37351,01",,"44230,20",,,Não,Não,Não,Não,,Negativa,,Sim,Tarja Vermelha(*)
2021,ACARBOSE,18.459.628/0001-15,BAYER S.A.,538912050014213,1705600740073,7891106001731,    -     ,    -     ,GLUCOBAY,50 MG COM CT BL AL/AL X 30,A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,Biológicos,Regulado,"33,29","33,29","37,83","40,11","40,11",,"40,35","40,35","40,60","40,60",,"41,61",,,Não,Não,Não,Não,,Positiva,,Não,Tarja  Vermelha
2021,ACARBOSE,18.459.628/0001-15,BAYER S.A.,538912050014313,1705600740091,7891106001748,    -     ,    -     ,GLUCOBAY,100 MG COM CT BL AL/AL X 30,A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,Biológicos,Regulado,"49,69","49,69","56,47","59,87","59,87",,"60,23","60,23","60,60","60,60",,"62,11",,,Não,Não,Não,Não,,Positiva,,Sim,Tarja  Vermelha
2021,ACEBROFILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508013120101205,1004310860022,7891317485153,    -     ,    -     ,FILINAR G,5 MG/ML GEL OR CT FR PLAS TRANS X 120ML + COL,R5C - EXPECTORANTES,Novo,Regulado,"14,59","14,59","16,58","17,58","17,58",,"17,68","17,68","17,79","17,79",,"18,24",,,Não,Não,Não,Não,,Positiva,,Sim,Tarja  Vermelha
2021,ACEBROFILINA,11.643.096/0001-22,MYLAN LABORATORIOS LTDA,541518090008304,1883000520011,7898560663505,    -     ,    -     ,DISMUCAL,5 MG/ML GEL OR CT FR PLAS INC X 60ML + COL MED,R5C - EXPECTORANTES,Novo,Regulado,"7,30","7,30","8,30","8,80","8,80",,"8,85","8,85","8,90","8,90",,"9,13",,,Não,Não,Não,Não,,Positiva,,Não,Tarja  Vermelha
2021,ACEBROFILINA,11.643.096/0001-22,MYLAN LABORATORIOS LTDA,541518090008404,1883000520021,7898560663512,    -     ,    -     ,DISMUCAL,5 MG/ML GEL OR CT FR PLAS INC X 120ML + COL MED,R5C - EXPECTORANTES,Novo,Regulado,"14,59","14,59","16,58","17,58","17,58",,"17,68","17,68","17,79","17,79",,"18,24",,,Não,Não,Não,Não,,Positiva,,Não,Tarja  Vermelha
2021,ACEPONATO DE METILPREDNISOLONA,18.459.628/0001-15,BAYER S.A.,538912050016413,1705600850014,7795320050127,    -     ,    -     ,ADVANTAN,1 MG/G CREM DERM CT BG AL X 15 G,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,Novo,Regulado,"37,16","41,62","48,10","51,43","44,77",,"51,79","45,04","52,15","45,32",,"53,66",,,Não,Não,Não,Não,,Negativa,,Sim,Tarja Vermelha(*)
2021,ACEPONATO DE METILPREDNISOLONA,18.459.628/0001-15,BAYER S.A.,538912050012613,1705600850091,7891106910712,    -     ,    -     ,ADVANTAN,1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,Novo,Regulado,"50,89","57,00","65,87","70,44","61,32",,"70,93","61,69","71,43","62,06",,"73,50",,,Não,Não,Não,Não,,Negativa,,Sim,Tarja Vermelha(*)
2021,ACEPONATO DE METILPREDNISOLONA,18.459.628/0001-15,BAYER S.A.,538912050012713,1705600850154,7795320050646,    -     ,    -     ,ADVANTAN,1 MG/G EMU DERM CT BG AL X 20 G,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,Novo,Regulado,"47,60","53,31","61,60","65,88","57,35",,"66,34","57,69","66,80","58,05",,"68,74",,,Não,Não,Não,Não,,Negativa,,Sim,Tarja Vermelha(*)
