codigo_anvisa,registro,nome,cnpj,razao_social
37,105830111, CLORETO DE CETILPIRIDINIO + BENZOCAINA,45992062000165,GERMED FARMACEUTICA LTDA
175234,105830361,A SAÚDE DA MULHER,45992062000165,GERMED FARMACEUTICA LTDA
68404,105830001,A.F.B.M,45992062000165,GERMED FARMACEUTICA LTDA
492492,105830541,ACECLOFENACO,45992062000165,GERMED FARMACEUTICA LTDA
671005,105830742,ACECLOFENACO,45992062000165,GERMED FARMACEUTICA LTDA
1010056,105831005,ACETATO DE CLORMADINONA + ETINILESTRADIOL,45992062000165,GERMED FARMACEUTICA LTDA
496202,105830544,ACETATO DE DEXAMETASONA,45992062000165,GERMED FARMACEUTICA LTDA
281421,105830286,ACETILCISTEINA,45992062000165,GERMED FARMACEUTICA LTDA
281431,105830289,ACETILCISTEÍNA,45992062000165,GERMED FARMACEUTICA LTDA
467,105830201,ACIDO L-GLUTAMICO + FENITOINA,45992062000165,GERMED FARMACEUTICA LTDA
655616,105830698,ACIDO TRANEXAMICO,45992062000165,GERMED FARMACEUTICA LTDA
698129,105830731,ACNOVA,45992062000165,GERMED FARMACEUTICA LTDA
1139302,105830844,ACNOVA,45992062000165,GERMED FARMACEUTICA LTDA
429896,105830531,ACRIDIN,45992062000165,GERMED FARMACEUTICA LTDA
404347,105830422,ADAPALENO,45992062000165,GERMED FARMACEUTICA LTDA
365418,105830332,ALBENDAZOL,45992062000165,GERMED FARMACEUTICA LTDA
418642,105830459,ALBENDAZOL,45992062000165,GERMED FARMACEUTICA LTDA
1132619,105830829,ALENDRONATO DE SÓDIO,45992062000165,GERMED FARMACEUTICA LTDA
3619223,105831035,ALERADINA,45992062000165,GERMED FARMACEUTICA LTDA
1139686,105830850,ALERADINA,45992062000165,GERMED FARMACEUTICA LTDA
626458,105830657,ALERADINA,45992062000165,GERMED FARMACEUTICA LTDA
5423,105830146,ALERGALIV,45992062000165,GERMED FARMACEUTICA LTDA
419671,105830482,ALERGALIV D,45992062000165,GERMED FARMACEUTICA LTDA
417446,105830469,ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL,45992062000165,GERMED FARMACEUTICA LTDA
347370,105830351,ALPRAZOLAM,45992062000165,GERMED FARMACEUTICA LTDA
137532,105830185,AMIODARONA,45992062000165,GERMED FARMACEUTICA LTDA
742,105830236,AMOXICILINA,45992062000165,GERMED FARMACEUTICA LTDA
281423,105830287,AMOXICILINA,45992062000165,GERMED FARMACEUTICA LTDA
741,105830235,AMOXICILINA,45992062000165,GERMED FARMACEUTICA LTDA
346018,105830349,AMOXICILINA,45992062000165,GERMED FARMACEUTICA LTDA
1151261,105830880,AMOXICILINA,45992062000165,GERMED FARMACEUTICA LTDA
1152648,105830890,AMOXICILINA,45992062000165,GERMED FARMACEUTICA LTDA
1152657,105830891,AMOXICILINA,45992062000165,GERMED FARMACEUTICA LTDA
468180,105830516,AMOXICILINA + CLAVULANATO DE POTÁSSIO,45992062000165,GERMED FARMACEUTICA LTDA
474583,105830522,AMOXICILINA + CLAVULANATO DE POTÁSSIO,45992062000165,GERMED FARMACEUTICA LTDA
1133335,105830886,AMOXICILINA + CLAVULANATO DE POTÁSSIO,45992062000165,GERMED FARMACEUTICA LTDA
830,105830062,AMPIGRAN,45992062000165,GERMED FARMACEUTICA LTDA
435231,105830088,ANACOLD,45992062000165,GERMED FARMACEUTICA LTDA
596952,105830614,ANALDENE,45992062000165,GERMED FARMACEUTICA LTDA
1174383,105830903,ANASTROZOL,45992062000165,GERMED FARMACEUTICA LTDA
356985,105830008,ANSIALEN B6,45992062000165,GERMED FARMACEUTICA LTDA
591442,105830648,ANTIBREX,45992062000165,GERMED FARMACEUTICA LTDA
1140872,105830858,ANTIBREX,45992062000165,GERMED FARMACEUTICA LTDA
525590,105830594,ASID,45992062000165,GERMED FARMACEUTICA LTDA
589450,105830650,ASPEVENT,45992062000165,GERMED FARMACEUTICA LTDA
365404,105830331,ATENOLOL,45992062000165,GERMED FARMACEUTICA LTDA
1270502,105830934,ATOBACH,45992062000165,GERMED FARMACEUTICA LTDA
668758,105830690,ATORLESS,45992062000165,GERMED FARMACEUTICA LTDA
137976,105830066,ATROPA BELADONA + ASSOCIAÇÕES,45992062000165,GERMED FARMACEUTICA LTDA
565387,105830644,Acido Acetilsalicilico,45992062000165,GERMED FARMACEUTICA LTDA
